book_title,book_price,book_url,image_url,published_date,category
Children Of Dune,9.67  ,https://www.bookdepository.com/Children-Dune-Frank-Herbert/9780575074903?ref=grid-view&qid=1628090003740&sr=1-53,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5750/9780575074903.jpg,01 Feb 2012,children
Miss Peregrine's Peculiar Children Boxed Set,45.10 ,https://www.bookdepository.com/Miss-Peregrines-Peculiar-Children-Boxed-Set-Ransom-Riggs/9781594748387?ref=grid-view&qid=1628090003740&sr=1-54,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594748387.jpg,16 Aug 2016,children
Library Of Souls,12.50 ,https://www.bookdepository.com/Library-Souls-Ransom-Riggs/9781594748400?ref=grid-view&qid=1628090003740&sr=1-55,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594748400.jpg,22 Sep 2015,children
Chess for Children,17.28 ,https://www.bookdepository.com/Chess-for-Children-Murray-Chandler/9781904600060?ref=grid-view&qid=1628090003740&sr=1-56,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9046/9781904600060.jpg,01 Sep 2004,children
The Red Beast,18.67 ,https://www.bookdepository.com/Red-Beast-Kay-Al-Ghani/9781843109433?ref=grid-view&qid=1628090003740&sr=1-57,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8431/9781843109433.jpg,15 Oct 2008,children
CBT Toolbox for Children and Adolescents,27.80 ,https://www.bookdepository.com/CBT-Toolbox-for-Children-Adolescents-Lisa-Phifer/9781683730750?ref=grid-view&qid=1628090003740&sr=1-58,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6837/9781683730750.jpg,26 Sep 2017,children
The One and Only Ivan,9.70 ,https://www.bookdepository.com/One-Only-Ivan-Katherine-Applegate/9780007455331?ref=grid-view&qid=1628090003740&sr=1-59,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0074/9780007455331.jpg,01 Oct 2017,children
The Conscious Parent,17.24 ,https://www.bookdepository.com/Conscious-Parent-Dr-Shefali-Tsabary/9781473619388?ref=grid-view&qid=1628090003740&sr=1-60,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473619388.jpg,15 Jan 2015,children
Children of Virtue and Vengeance,10.19 ,https://www.bookdepository.com/Children-Virtue-Vengeance-Tomi-Adeyemi/9781509899456?ref=grid-view&qid=1628090007632&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509899456.jpg,05 Mar 2020,children
"Raising Our Children, Raising Ourselves",17.16 ,https://www.bookdepository.com/Raising-Our-Children-Raising-Ourselves-Naomi-Aldort/9781887542326?ref=grid-view&qid=1628090007632&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8875/9781887542326.jpg,30 Jan 2006,children
Children's Birthday Cake Book - Vintage Edition,22.48 ,https://www.bookdepository.com/Childrens-Birthday-Cake-Book-Vintage-Edition-Australian-Womens-Weekly/9781742450582?ref=grid-view&qid=1628090007632&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7424/9781742450582.jpg,01 Mar 2011,children
James Herriot's Treasury for Children,26.02 ,https://www.bookdepository.com/James-Herriots-Treasury-for-Children-James-Herriot/9781250058133?ref=grid-view&qid=1628090007632&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250058133.jpg,28 Oct 2014,children
Music Theory for Young Children - Book 2,10.70 ,https://www.bookdepository.com/Music-Theory-for-Young-Children-Book-2-Ying-Ying-Ng/9789671250419?ref=grid-view&qid=1628090007632&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/6712/9789671250419.jpg,01 Jul 2015,children
Children of Blood and Bone,18.49 ,https://www.bookdepository.com/Children-Blood-Bone-Tomi-Adeyemi/9781250170972?ref=grid-view&qid=1628090007632&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2501/9781250170972.jpg,06 Mar 2018,children
The Children of Hurin,13.52 ,https://www.bookdepository.com/Children-Hurin-J-R-R-Tolkien/9780007309368?ref=grid-view&qid=1628090007632&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007309368.jpg,24 Apr 2009,children
Raising Children Compassionately,9.28 ,https://www.bookdepository.com/Raising-Children-Compassionately-Marshall-B-Rosenberg/9781892005090?ref=grid-view&qid=1628090007632&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8920/9781892005090.jpg,28 Sep 2004,children
Children's Picture Atlas,12.84 ,https://www.bookdepository.com/Childrens-Picture-Atlas-Ruth-Brocklehurst/9780746047132?ref=grid-view&qid=1628090007632&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7460/9780746047132.jpg,31 Oct 2003,children
The Explosive Child [Fifth Edition],16.85 ,https://www.bookdepository.com/Explosive-Child-Fifth-Edition-Ross-W-Greene-PhD/9780062270450?ref=grid-view&qid=1628090007632&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0622/9780062270450.jpg,19 Jun 2014,children
Children of the Mind,11.47 ,https://www.bookdepository.com/Children-Mind-Orson-Scott-Card/9780812522396?ref=grid-view&qid=1628090007632&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8125/9780812522396.jpg,15 Jun 1997,children
Irish Legends for Children,9.00 ,https://www.bookdepository.com/Irish-Legends-for-Children-Yvonne-Carroll/9780717125517?ref=grid-view&qid=1628090007632&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7171/9780717125517.jpg,01 Mar 1997,children
Oxford Children's Dictionary,14.31 ,https://www.bookdepository.com/Oxford-Childrens-Dictionary-Oxford-Dictionaries/9780192744012?ref=grid-view&qid=1628090007632&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1927/9780192744012.jpg,07 May 2015,children
Slaughterhouse 5,12.36 ,https://www.bookdepository.com/Slaughterhouse-5-Kurt-Vonnegut/9780099800200?ref=grid-view&qid=1628090007632&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0998/9780099800200.jpg,21 Mar 1991,children
Five Children and It,7.54  ,https://www.bookdepository.com/Five-Children-It-E-Nesbit/9780349009353?ref=grid-view&qid=1628090007632&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3490/9780349009353.jpg,26 Sep 2017,children
100 Best Poems for Children,16.06 ,https://www.bookdepository.com/100-Best-Poems-for-Children-Sheila-Moxley/9780141310589?ref=grid-view&qid=1628090007632&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141310589.jpg,03 Oct 2005,children
Piano Pieces for Children (Efs 3),15.75 ,https://www.bookdepository.com/Piano-Pieces-for-Children-Efs-3-Hal-Leonard-Publishing-Corporation/9780825620034?ref=grid-view&qid=1628090007632&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8256/9780825620034.jpg,01 Jan 1993,children
Starving the Anxiety Gremlin for Children Aged 5-9,19.36 ,https://www.bookdepository.com/Starving-Anxiety-Gremlin-for-Children-Aged-5-9-Kate-Collins-Donnelly/9781849054928?ref=grid-view&qid=1628090007632&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8490/9781849054928.jpg,21 Sep 2014,children
POCO PIANO FOR YOUNG CHILDREN,11.05 ,https://www.bookdepository.com/POCO-PIANO-FOR-YOUNG-CHILDREN-O-SULLIVAN-FARREL-MARGARET/9789834304829?ref=grid-view&qid=1628090007632&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9789/8343/9789834304829.jpg,01 Aug 2016,children
"The Boy Who Was Raised as a Dog, 3rd Edition",15.55 ,https://www.bookdepository.com/Boy-Who-Was-Raised-Dog-3rd-Edition-Bruce-D-Perry/9780465094455?ref=grid-view&qid=1628090007632&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465094455.jpg,31 Aug 2017,children
The World's Worst Children,12.14 ,https://www.bookdepository.com/Worlds-Worst-Children-David-Walliams/9780008197070?ref=grid-view&qid=1628090007632&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008197070.jpg,19 May 2016,children
The Story of the Titanic for Children,13.56 ,https://www.bookdepository.com/Story-Titanic-for-Children-Joe-Fullman/9781783123353?ref=grid-view&qid=1628090007632&sr=1-82,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7831/9781783123353.jpg,06 Mar 2018,children
1001 Great Ideas for Teaching and Raising Children with Autism or Asperger's,27.58 ,https://www.bookdepository.com/1001-Great-Ideas-for-Teaching-Raising-Children-with-Autism-or-Aspergers-Ellen-Notbohm/9781935274063?ref=grid-view&qid=1628090007632&sr=1-83,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9352/9781935274063.jpg,30 Mar 2010,children
Lost Children Archive,11.76 ,https://www.bookdepository.com/Lost-Children-Archive-Valeria-Luiselli/9780008290054?ref=grid-view&qid=1628090007632&sr=1-84,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008290054.jpg,06 Feb 2020,children
Little Women,9.58 ,https://www.bookdepository.com/Little-Women-Louisa-May-Alcott/9780099572961?ref=grid-view&qid=1628090007632&sr=1-85,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099572961.jpg,03 Mar 2017,children
The Children of Jocasta,10.73 ,https://www.bookdepository.com/Children-Jocasta-Natalie-Haynes/9781529057133?ref=grid-view&qid=1628090007632&sr=1-86,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5290/9781529057133.jpg,01 Jun 2021,children
Gorgeous & Gruesome Cakes for Children,18.24 ,https://www.bookdepository.com/Gorgeous-Gruesome-Cakes-for-Children-Debbie-Brown/9781847736468?ref=grid-view&qid=1628090007632&sr=1-87,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8477/9781847736468.jpg,07 Sep 2010,children
Counselling Children,34.93 ,https://www.bookdepository.com/Counselling-Children-Kathryn-Geldard/9781473953338?ref=grid-view&qid=1628090007632&sr=1-88,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4739/9781473953338.jpg,02 Jan 2018,children
Where Did I Come From?,12.47 ,https://www.bookdepository.com/Where-Did-I-Come-From-Peter-Mayle/9780818402531?ref=grid-view&qid=1628090007632&sr=1-89,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8184/9780818402531.jpg,01 Dec 2000,children
Children of the Forest,16.06 ,https://www.bookdepository.com/Children-Forest-Elsa-Beskow/9780863150494?ref=grid-view&qid=1628090007632&sr=1-90,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8631/9780863150494.jpg,01 Jun 1987,children
Aboriginal Story: How the Birds Got Their Colours,22.76 ,https://www.bookdepository.com/Aboriginal-Story-How-Birds-Got-Their-Colours-Pamela-Lofts/9781865046242?ref=grid-view&qid=1628090013365&sr=1-91,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8650/9781865046242.jpg,01 Jan 2004,children
Angel Cards for Children,11.45 ,https://www.bookdepository.com/Angel-Cards-for-Children-Diana-Cooper/9781844090273?ref=grid-view&qid=1628090013365&sr=1-92,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844090273.jpg,30 May 2004,children
Knock Knock Traumatize Your Children,12.43 ,https://www.bookdepository.com/Knock-Knock-Traumatize-Your-Children-Knock-Knock/9781601063090?ref=grid-view&qid=1628090013365&sr=1-93,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6010/9781601063090.jpg,04 Sep 2011,children
