book_title,book_price,book_url,image_url,published_date,category
Stochastic Calculus for Finance II,63.42 ,https://www.bookdepository.com/Stochastic-Calculus-for-Finance-II-Steven-Shreve/9780387401010?ref=grid-view&qid=1628102692011&sr=1-34,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3874/9780387401010.jpg,13 Dec 2010,finance
Paul Wilmott Introduces Quantitative Finance,64.03 ,https://www.bookdepository.com/Paul-Wilmott-Introduces-Quantitative-Finance-Paul-Wilmott/9780470319581?ref=grid-view&qid=1628102692011&sr=1-35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4703/9780470319581.jpg,27 Aug 2007,finance
Finance and the Good Society,23.92 ,https://www.bookdepository.com/Finance-Good-Society-Robert-J-Shiller/9780691154886?ref=grid-view&qid=1628102692011&sr=1-36,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6911/9780691154886.jpg,20 Mar 2012,finance
Finance and the Good Society,19.77 ,https://www.bookdepository.com/Finance-Good-Society-Robert-J-Shiller/9780691158099?ref=grid-view&qid=1628102692011&sr=1-37,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6911/9780691158099.jpg,21 Apr 2013,finance
Principles of Project Finance,65.18 ,https://www.bookdepository.com/Principles-Project-Finance-E-R-Yescombe/9780123910585?ref=grid-view&qid=1628102692011&sr=1-38,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1239/9780123910585.jpg,10 Dec 2013,finance
Value Investing in Asia,23.35 ,https://www.bookdepository.com/Value-Investing-Asia-Peir-Shenq-Stanley-Lim/9781119391180?ref=grid-view&qid=1628102692011&sr=1-39,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1193/9781119391180.jpg,04 Jan 2018,finance
Option Volatility and Pricing: Advanced Trading Strategies and Techniques,62.55 ,https://www.bookdepository.com/Option-Volatility-Pricing-Advanced-Trading-Strategies-Techniques-Sheldon-Natenberg/9780071818773?ref=grid-view&qid=1628102692011&sr=1-40,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0718/9780071818773.jpg,16 Dec 2014,finance
ISE Fundamentals of Corporate Finance,70.86 ,https://www.bookdepository.com/ISE-Fundamentals-Corporate-Finance-Richard-Brealey/9781260566093?ref=grid-view&qid=1628102692011&sr=1-41,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2605/9781260566093.jpg,05 May 2019,finance
Frequently Asked Questions in Quantitative Finance,29.54 ,https://www.bookdepository.com/Frequently-Asked-Questions-Quantitative-Finance-Paul-Wilmott/9780470748756?ref=grid-view&qid=1628102692011&sr=1-42,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4707/9780470748756.jpg,07 Jul 2011,finance
Business Finance,92.43 ,https://www.bookdepository.com/Business-Finance-Graham-Peirson/9781743078976?ref=grid-view&qid=1628102692011&sr=1-43,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7430/9781743078976.jpg,30 Aug 2014,finance
The Uprising: Volume 14,14.99 ,https://www.bookdepository.com/Uprising-14-Franco-Bifo-Berardi/9781584351122?ref=grid-view&qid=1628102692011&sr=1-44,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5843/9781584351122.jpg,20 Nov 2012,finance
Mathematics for Finance,38.10 ,https://www.bookdepository.com/Mathematics-for-Finance-Marek-Capinski/9780857290816?ref=grid-view&qid=1628102692011&sr=1-45,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8572/9780857290816.jpg,29 Nov 2010,finance
Investment Banking,97.41 ,https://www.bookdepository.com/Investment-Banking-Joshua-Rosenbaum/9781118656211?ref=grid-view&qid=1628102692011&sr=1-46,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1186/9781118656211.jpg,28 Jun 2013,finance
Accounting and Finance for Non-Specialists 11th edition,54.89 ,https://www.bookdepository.com/Accounting-Finance-for-Non-Specialists-11th-edition-Peter-Atrill/9781292244013?ref=grid-view&qid=1628102692011&sr=1-47,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2922/9781292244013.jpg,05 Sep 2019,finance
Investment Valuation,69.99 ,https://www.bookdepository.com/Investment-Valuation-Aswath-Damodaran/9781118130735?ref=grid-view&qid=1628102692011&sr=1-48,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1181/9781118130735.jpg,20 Apr 2012,finance
The Concepts and Practice of Mathematical Finance,88.25 ,https://www.bookdepository.com/Concepts-Practice-Mathematical-Finance-Mark-S-Joshi/9780521514088?ref=grid-view&qid=1628102692011&sr=1-49,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5215/9780521514088.jpg,03 Dec 2014,finance
Options Trading QuickStart Guide,17.64 ,https://www.bookdepository.com/Options-Trading-QuickStart-Guide-Clydebank-Finance/9781945051050?ref=grid-view&qid=1628102692011&sr=1-50,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9450/9781945051050.jpg,07 Apr 2016,finance
Value Investing,32.91 ,https://www.bookdepository.com/Value-Investing-Bruce-C-Greenwald/9780470116739?ref=grid-view&qid=1628102692011&sr=1-51,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4701/9780470116739.jpg,08 Dec 2020,finance
Introductory Econometrics for Finance,73.48 ,https://www.bookdepository.com/Introductory-Econometrics-for-Finance-Chris-Brooks/9781107661455?ref=grid-view&qid=1628102692011&sr=1-52,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1076/9781107661455.jpg,19 Mar 2015,finance
"Hidden Finance, Rogue Networks and Secret Sorcery",21.06 ,https://www.bookdepository.com/Hidden-Finance-Rogue-Networks-Secret-Sorcery-Joseph-P-Farrell/9781939149633?ref=grid-view&qid=1628102692011&sr=1-53,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9391/9781939149633.jpg,31 Aug 2016,finance
1666 Redemption Through Sin,21.86 ,https://www.bookdepository.com/1666-Redemption-Through-Sin-Robert-Sepehr/9781943494019?ref=grid-view&qid=1628102692011&sr=1-54,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9434/9781943494019.jpg,15 May 2015,finance
An Introduction to Quantitative Finance,28.07 ,https://www.bookdepository.com/Introduction-Quantitative-Finance-Stephen-Blyth/9780199666591?ref=grid-view&qid=1628102692011&sr=1-55,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1996/9780199666591.jpg,01 Dec 2013,finance
Introductory Econometrics for Finance,63.69 ,https://www.bookdepository.com/Introductory-Econometrics-for-Finance-Chris-Brooks/9781108436823?ref=grid-view&qid=1628102692011&sr=1-56,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1084/9781108436823.jpg,21 Feb 2020,finance
"Corporate Finance, 4e",72.15 ,https://www.bookdepository.com/Corporate-Finance-4e-David-Hillier/9781526848086?ref=grid-view&qid=1628102692011&sr=1-57,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5268/9781526848086.jpg,09 Mar 2021,finance
Unf*ck Your Finances,17.38 ,https://www.bookdepository.com/Unf-ck-Your-Finances-Melissa-Browne/9781760633127?ref=grid-view&qid=1628102692011&sr=1-58,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7606/9781760633127.jpg,01 Nov 2019,finance
"Schaum's Outline of Mathematics of Finance, Second Edition",18.36 ,https://www.bookdepository.com/Schaums-Outline-Mathematics-Finance-Second-Edition-Robert-Brown/9780071756051?ref=grid-view&qid=1628102692011&sr=1-59,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0717/9780071756051.jpg,24 Mar 2011,finance
A Dictionary of Finance and Banking,16.15 ,https://www.bookdepository.com/Dictionary-Finance-Banking-Jonathan-Law/9780198789741?ref=grid-view&qid=1628102692011&sr=1-60,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198789741.jpg,22 May 2018,finance
Machine Learning in Finance,99.32 ,https://www.bookdepository.com/Machine-Learning-Finance-Matthew-F-Dixon/9783030410674?ref=grid-view&qid=1628102696615&sr=1-61,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/0304/9783030410674.jpg,02 Jul 2020,finance
"Finance for Nonfinancial Managers, Second Edition (Briefcase Books Series)",19.00 ,https://www.bookdepository.com/Finance-for-Nonfinancial-Managers-Second-Edition-Briefcase-Books-Series-Gene-Siciliano/9780071824361?ref=grid-view&qid=1628102696615&sr=1-62,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0718/9780071824361.jpg,04 May 2015,finance
Stochastic Calculus for Finance I,55.03 ,https://www.bookdepository.com/Stochastic-Calculus-for-Finance-I-Steven-Shreve/9780387249681?ref=grid-view&qid=1628102696615&sr=1-63,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3872/9780387249681.jpg,28 Jun 2005,finance
Finance for Managers,19.03 ,https://www.bookdepository.com/Finance-for-Managers-Harvard-Business-Review/9781578518760?ref=grid-view&qid=1628102696615&sr=1-64,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5785/9781578518760.jpg,02 Jan 2003,finance
Principles of Sustainable Finance,57.59 ,https://www.bookdepository.com/Principles-Sustainable-Finance-Dirk-Schoenmaker/9780198826606?ref=grid-view&qid=1628102696615&sr=1-65,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1988/9780198826606.jpg,20 Feb 2019,finance
Finance Basics (HBR 20-Minute Manager Series),12.72 ,https://www.bookdepository.com/Finance-Basics-HBR-20-Minute-Manager-Series-Harvard-Business-Review/9781625270856?ref=grid-view&qid=1628102696615&sr=1-66,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6252/9781625270856.jpg,11 Mar 2014,finance
Mathematical Finance: A Very Short Introduction,11.47 ,https://www.bookdepository.com/Mathematical-Finance-Very-Short-Introduction-Mark-H-Davis/9780198787945?ref=grid-view&qid=1628102696615&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1987/9780198787945.jpg,24 Mar 2019,finance
Finance for Executives,71.07 ,https://www.bookdepository.com/Finance-for-Executives-Gabriel-Hawawini/9781473749245?ref=grid-view&qid=1628102696615&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4737/9781473749245.jpg,11 Apr 2019,finance
My Life as a Quant,15.89 ,https://www.bookdepository.com/My-Life-Quant-Emanuel-Derman/9780470192733?ref=grid-view&qid=1628102696615&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4701/9780470192733.jpg,11 Jan 2016,finance
"Corporate Finance, Global Edition",80.85 ,https://www.bookdepository.com/Corporate-Finance-Global-Edition-Jonathan-Berk/9781292304151?ref=grid-view&qid=1628102696615&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2923/9781292304151.jpg,11 Jun 2019,finance
Quantitative Finance For Dummies,21.45 ,https://www.bookdepository.com/Quantitative-Finance-For-Dummies-Steve-Bell/9781118769461?ref=grid-view&qid=1628102696615&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1187/9781118769461.jpg,08 Aug 2016,finance
Corporate Finance For Dummies - UK,22.96 ,https://www.bookdepository.com/Corporate-Finance-For-Dummies-UK-Steven-Collings/9781118743508?ref=grid-view&qid=1628102696615&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1187/9781118743508.jpg,04 Oct 2013,finance
The Heretic's Guide to Global Finance,22.19 ,https://www.bookdepository.com/Heretics-Guide-Global-Finance-Brett-Scott/9780745333502?ref=grid-view&qid=1628102696615&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7453/9780745333502.jpg,14 May 2013,finance
Clever Girl Finance,17.53 ,https://www.bookdepository.com/Clever-Girl-Finance-Bola-Sokunbi/9781119696735?ref=grid-view&qid=1628102696615&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1196/9781119696735.jpg,26 Nov 2020,finance
Expected Returns,58.98 ,https://www.bookdepository.com/Expected-Returns-Antti-Ilmanen/9781119990727?ref=grid-view&qid=1628102696615&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1199/9781119990727.jpg,22 Mar 2011,finance
MBA Fundamentals Accounting and Finance,17.85 ,https://www.bookdepository.com/MBA-Fundamentals-Accounting-Finance-Michael-P-Griffin/9781427797193?ref=grid-view&qid=1628102696615&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4277/9781427797193.jpg,06 Jan 2009,finance
The Future of Finance,35.73 ,https://www.bookdepository.com/Future-Finance-Henri-Arslanian/9783030145323?ref=grid-view&qid=1628102696615&sr=1-77,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/0301/9783030145323.jpg,09 Aug 2019,finance
"Public Finance, Global Edition",71.34 ,https://www.bookdepository.com/Public-Finance-Global-Edition-Harvey-Rosen/9780077154691?ref=grid-view&qid=1628102696615&sr=1-78,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0771/9780077154691.jpg,09 Feb 2021,finance
Crisis Economics,14.92 ,https://www.bookdepository.com/Crisis-Economics-Nouriel-Roubini/9780141045931?ref=grid-view&qid=1628102696615&sr=1-79,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141045931.jpg,10 Oct 2014,finance
How to Create Your Own Jewelry Line,24.24 ,https://www.bookdepository.com/How-Create-Your-Own-Jewelry-Line-Emilie-Shapiro/9781454709336?ref=grid-view&qid=1628102696615&sr=1-80,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4547/9781454709336.jpg,05 Apr 2016,finance
Corporate and Project Finance Modeling,56.52 ,https://www.bookdepository.com/Corporate-Project-Finance-Modeling-Edward-Bodmer/9781118854365?ref=grid-view&qid=1628102696615&sr=1-81,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1188/9781118854365.jpg,30 Dec 2014,finance
